2023-10-25
01 - 02,8.5
02 - 03,7.6
03 - 04,7.2
04 - 05,7.3
05 - 06,7.8
06 - 07,9.7
07 - 08,16.9
08 - 09,17.3
09 - 10,17.5
10 - 11,19.4
11 - 12,15.7
12 - 13,15.5
13 - 14,15.5
14 - 15,15.5
15 - 16,16.7
16 - 17,17.9
17 - 18,19.3
18 - 19,17.8
19 - 20,16.9
20 - 21,16.1
21 - 22,14.6
22 - 23,12.6
23 - 24,12.7
2023-11-21
00 - 01,11.5
01 - 02,15.7
02 - 03,11.9
03 - 04,11.6
04 - 05,11.0
05 - 06,11.6
06 - 07,21.9
07 - 08,66.6
08 - 09,59.0
09 - 10,66.5
10 - 11,48.1
11 - 12,48.6
12 - 13,59.0
13 - 14,48.4
14 - 15,39.9
15 - 16,59.0
16 - 17,94.0
17 - 18,41.8
18 - 19,24.2
19 - 20,20.0
20 - 21,16.8
21 - 22,16.0
22 - 23,18.8
23 - 24,13.4
2023-11-22
00 - 01,11.9
01 - 02,11.9
02 - 03,11.5
03 - 04,11.5
04 - 05,11.1
05 - 06,11.2
06 - 07,11.5
07 - 08,14.5
08 - 09,39.3
09 - 10,24.2
10 - 11,16.1
11 - 12,14.1
12 - 13,18.4
13 - 14,24.2
14 - 15,24.2
15 - 16,16.9
16 - 17,19.4
17 - 18,19.6
18 - 19,16.8
19 - 20,15.7
20 - 21,9.6
21 - 22,1.9
22 - 23,1.8
23 - 24,1.5
2023-11-23
00 - 01,1.4
01 - 02,1.2
02 - 03,1.2
03 - 04,1.2
04 - 05,1.2
05 - 06,1.4
06 - 07,2.0
07 - 08,7.1
08 - 09,10.4
09 - 10,10.5
10 - 11,10.6
11 - 12,10.6
12 - 13,10.7
13 - 14,10.6
14 - 15,10.5
15 - 16,10.3
16 - 17,10.6
17 - 18,10.6
18 - 19,10.6
19 - 20,10.6
20 - 21,10.6
21 - 22,7.9
22 - 23,6.8
23 - 24,3.0
2023-11-24
00 - 01,3.0
01 - 02,3.9
02 - 03,3.3
03 - 04,2.2
04 - 05,1.2
05 - 06,1.9
06 - 07,4.6
07 - 08,10.6
08 - 09,10.6
09 - 10,13.8
10 - 11,10.6
11 - 12,10.6
12 - 13,10.6
13 - 14,10.6
14 - 15,10.7
15 - 16,12.6
16 - 17,13.7
17 - 18,14.7
18 - 19,14.6
19 - 20,14.4
20 - 21,14.6
21 - 22,14.4
22 - 23,12.1
23 - 24,10.8
2023-12-04
00 - 01,11.0
01 - 02,11.6
02 - 03,11.2
03 - 04,10.9
04 - 05,10.7
05 - 06,10.7
06 - 07,13.5
07 - 08,18.1
08 - 09,24.1
09 - 10,28.5
10 - 11,28.6
11 - 12,25.0
12 - 13,20.1
13 - 14,19.4
14 - 15,20.2
15 - 16,21.2
16 - 17,25.4
17 - 18,31.8
18 - 19,25.0
19 - 20,22.3
20 - 21,18.3
21 - 22,15.4
22 - 23,14.8
23 - 24,13.7
2023-12-07
00 - 01,12.2
01 - 02,12.0
02 - 03,11.8
03 - 04,11.7
04 - 05,11.1
05 - 06,10.9
06 - 07,11.4
07 - 08,14.1
08 - 09,18.5
09 - 10,18.5
10 - 11,18.5
11 - 12,18.5
12 - 13,16.7
13 - 14,17.4
14 - 15,16.7
15 - 16,16.7
16 - 17,19.4
17 - 18,18.5
18 - 19,18.1
19 - 20,18.5
20 - 21,19.2
21 - 22,18.2
22 - 23,15.4
23 - 24,14.4
2023-12-08
00 - 01,10.5
01 - 02,10.5
02 - 03,10.1
03 - 04,9.9
04 - 05,9.6
05 - 06,10.9
06 - 07,10.5
07 - 08,14.9
08 - 09,17.4
09 - 10,24.2
10 - 11,24.2
11 - 12,16.6
12 - 13,24.2
13 - 14,24.2
14 - 15,24.2
15 - 16,24.2
16 - 17,24.2
17 - 18,16.6
18 - 19,15.6
19 - 20,14.4
20 - 21,16.3
21 - 22,14.0
22 - 23,12.2
23 - 24,12.3
